store,file,label,recommended_use,source,source_size_after_orientation,bytes
north,assets/gmb/storefront-source-photos-2026-05-20/north/01-north-storefront-night-real.jpg,北區夜間門面與招牌,北區店入口圖卡首選底圖,D:\見觀營運資料夾\02_廣告_AdsControl\exports\instagram-observe-tw\ads-live-pack\north\branchlatest-01-20260429_205821.jpg,4080x3060,2613715
north,assets/gmb/storefront-source-photos-2026-05-20/north/02-north-storefront-front-real.jpg,北區正面門面,北區路線 / 到店提醒備用底圖,D:\見觀營運資料夾\02_廣告_AdsControl\exports\instagram-observe-tw\ads-live-pack\north\branchlatest-02-20260429_205829.jpg,4080x3060,2356051
north,assets/gmb/storefront-source-photos-2026-05-20/north/03-north-waiting-area-real.jpg,北區室內等候區,北區第一次來 / 預約流程底圖,D:\見觀營運資料夾\02_廣告_AdsControl\exports\instagram-observe-tw\ads-live-pack\north\branchlatest-03-20260429_205841.jpg,4080x3060,2126432
north,assets/gmb/storefront-source-photos-2026-05-20/north/04-north-opening-hours-real.jpg,北區營業時間門貼,北區到店提醒 / 營業資訊底圖,D:\見觀營運資料夾\02_廣告_AdsControl\exports\instagram-observe-tw\ads-live-pack\north\DGSZsBOyHCX-04.jpg,720x377,52810
south,assets/gmb/storefront-source-photos-2026-05-20/south/01-south-storefront-building-real.jpg,南區建物與招牌,南區店入口圖卡首選底圖,D:\見觀營運資料夾\02_廣告_AdsControl\exports\instagram-observe-tw\ads-live-pack\south\branchlatest-01-20260430_122627.jpg,3060x4080,3309033
south,assets/gmb/storefront-source-photos-2026-05-20/south/02-south-storefront-front-real.jpg,南區正面門面,南區路線 / 到店提醒備用底圖,D:\見觀營運資料夾\02_廣告_AdsControl\exports\instagram-observe-tw\ads-live-pack\south\branchlatest-02-20260430_122640.jpg,4080x3060,2667705
south,assets/gmb/storefront-source-photos-2026-05-20/south/03-south-interior-entry-real.jpg,南區入口與室內,南區第一次來 / 預約流程底圖,D:\見觀營運資料夾\02_廣告_AdsControl\exports\instagram-observe-tw\ads-live-pack\south\branchlatest-03-20260430_122658.jpg,4080x3060,2423493
south,assets/gmb/storefront-source-photos-2026-05-20/south/04-south-event-booth-real.jpg,南區外部活動攤位,共用聯絡 / 服務情境備用底圖,D:\見觀營運資料夾\02_廣告_AdsControl\exports\instagram-observe-tw\ads-live-pack\south\DMMsGgdBqC--01.jpg,720x540,87265
